359 428 535 1617 2848
a 1411 1126 1755 4365 3110
aa 0 0 1 0 0
aachen 0 0 0 0 1
aancor 0 0 0 0 1
aap 0 0 0 0 2
aar 0 0 0 0 1
aarnoud 0 0 0 1 0
aaron 0 0 0 0 2
ab 3 0 0 47 19
abalkhail 1 0 0 0 0
abandon 1 2 4 4 6
abastecimento 0 2 0 0 0
abastecimiento 0 1 0 0 0
abat 3 0 1 1 0
abbett 0 0 0 0 7
abbey 0 0 0 0 2
abbrevi 0 0 0 0 1
abdelaziz 2 0 0 0 0
abdeljabbar 1 0 0 0 0
abdelrahim 1 0 0 0 0
abdelshakour 0 0 1 0 0
abdul 1 0 0 0 1
abdulaziz 7 0 0 0 0
abdulkarim 0 0 1 0 0
abdullah 0 0 1 0 0
abdulrahim 2 0 0 0 0
abercrombi 0 0 0 0 1
aberr 0 0 2 0 0
abex 0 0 0 3 0
abf 0 0 0 0 1
abid 6 0 1 3 0
abil 10 3 3 13 15
abilen 0 0 0 2 0
abl 11 10 9 23 16
ablaz 1 0 0 0 0
abn 0 0 1 0 5
abnorm 0 1 0 0 1
abolish 1 3 5 0 2
abolit 0 1 0 0 0
abort 0 0 0 2 1
about 194 110 204 580 358
aboutfac 0 1 0 1 0
abov 44 28 75 14 19
abovement 0 0 0 1 0
abovenorm 0 1 0 0 0
abovetarget 0 0 1 0 0
abraham 0 0 0 0 1
abroad 3 1 12 3 7
abrog 0 0 2 0 0
absenc 0 2 4 1 3
absent 0 0 0 1 0
absolut 1 1 3 2 4
absolv 0 0 0 1 0
absorb 1 0 6 2 1
absorpt 0 0 0 0 1
abstain 0 0 0 1 0
abu 10 0 2 0 0
abund 2 3 1 0 0
abus 0 1 1 3 1
ac 0 0 0 0 1
academ 0 0 1 0 0
academi 0 0 0 0 2
acccount 0 0 1 0 0
acceler 3 1 10 11 7
accentu 0 0 3 0 0
accept 28 53 17 92 15
access 3 11 3 23 6
accessori 0 0 0 2 2
accid 5 2 0 0 6
accler 0 0 1 0 0
accommod 0 0 2 0 1
accomod 2 0 0 0 0
accompani 2 1 2 3 6
accomplish 0 0 0 5 0
accord 62 58 149 61 21
accordingli 0 0 2 3 2
account 18 16 75 35 173
accru 1 1 0 4 14
accruabl 0 0 0 0 2
accrual 0 0 0 0 3
accu 0 3 0 0 0
accumul 0 1 1 14 8
accur 2 2 0 0 2
accuraci 0 1 0 1 0
accuray 0 0 0 2 5
accus 1 1 1 2 1
accuweath 0 4 0 0 0
achiev 6 5 20 9 26
aci 0 0 0 2 0
acico 0 3 0 0 0
acid 1 0 0 4 1
acit 0 1 0 0 0
aciv 0 0 0 0 1
acknowledg 1 1 3 11 0
acknowleg 1 0 0 0 0
acm 0 0 0 5 0
acmecleveland 0 0 0 0 1
acmex 0 0 0 4 0
acquah 0 0 1 0 0
acquaint 0 0 0 1 0
acquiesc 0 0 0 1 0
acquir 12 0 1 705 59
acquisit 9 1 0 607 131
acquisitioon 0 0 0 1 0
acquisititon 0 0 0 1 0
acquisiton 0 0 0 3 0
