45839 45669 59963 121773 145166
said 1506 1396 1872 4802 2773
mln 692 743 536 1512 7616
vs 0 30 0 0 9198
dlr 502 280 290 2074 4540
ct 63 20 3 61 5664
net 28 11 23 80 4277
loss 21 20 17 70 4069
share 56 23 11 2181 1708
year 323 419 249 334 2633
pct 392 337 631 1344 973
compani 272 31 24 1832 1340
shr 0 0 0 4 3272
inc 63 23 21 1427 1266
profit 24 14 18 104 2505
bank 85 5 1352 598 572
ha 255 289 345 1254 356
wa 440 300 520 751 440
us 314 664 577 435 231
oper 84 39 69 336 1693
corp 106 18 11 1140 906
would 324 316 371 788 296
billion 164 82 462 218 1121
sale 51 133 51 610 1142
market 160 279 839 295 206
oil 1427 39 20 118 161
stock 131 58 57 803 673
rev 0 0 0 0 1636
qtr 4 0 0 1 1629
price 584 332 109 342 191
offer 39 175 65 1180 83
thi 204 301 389 247 300
one 167 118 227 351 510
last 261 226 243 267 354
group 53 31 48 824 391
also 166 127 203 495 351
note 21 27 85 110 1036
expect 111 112 227 266 541
includ 55 58 52 239 778
report 199 206 114 153 496
co 65 19 22 576 485
per 133 142 26 280 582
new 136 110 187 438 283
april 48 96 79 149 770
march 103 97 118 254 553
two 104 128 164 316 411
unit 98 56 81 631 250
rate 47 56 807 37 149
dollar 18 4 901 17 91
industri 176 57 138 356 285
quarter 53 8 31 53 864
product 323 191 25 232 231
trade 81 211 450 150 107
exchang 29 56 491 317 105
end 87 68 80 173 574
dividend 1 0 0 33 948
record 9 57 59 38 817
tonn 24 921 0 6 13
first 74 50 78 257 498
earn 17 4 11 95 814
may 68 158 88 210 413
increas 138 112 77 152 444
ltd 45 2 18 437 375
buy 29 84 114 605 43
agreement 53 93 188 461 55
interest 52 27 193 342 210
month 130 116 180 114 273
total 93 161 92 252 208
offici 174 217 244 130 29
plan 85 71 49 383 202
result 37 56 43 109 540
th 9 0 7 8 755
stg 16 21 462 77 202
sharehold 4 2 2 526 244
acquir 12 0 1 705 59
wheat 1 766 1 0 0
say 140 68 256 222 80
current 71 94 164 161 259
acquisit 9 1 0 607 131
export 159 442 105 10 27
board 11 58 41 427 200
invest 47 15 51 385 238
common 6 6 17 493 213
gain 28 10 33 59 592
today 138 66 259 178 79
sell 44 28 69 527 51
week 147 194 176 135 63
intern 60 36 118 310 185
