0.06203559702782098 0.07395887333678935 0.0924485916709867 0.279419388284085 0.492137549680318
said 0.026988305664499723 0.02509475650721227 0.02677129339793891 0.014213837432554468 0.01787762783083923
mln 0.01241068070703272 0.013364709263683558 0.00767548561382445 0.004075189909920849 0.04908936236031089
vs 1.7908630168878382e-05 0.0005568628859868149 1.4293269299486872e-05 7.588808025923368e-06 0.05928489488676643
dlr 0.009008040974945826 0.005047692611686935 0.00415934136615068 0.0022083431355437 0.02926543186007244
ct 0.0011461523308082164 0.0003772296969588101 5.717307719794749e-05 3.0355232103693473e-05 0.036509286828300014
net 0.0005193502748974731 0.00021555982683360577 0.0003430384631876849 0.00018213139262216084 0.0275704729128804
loss 0.00039398986371532444 0.0003772296969588101 0.0002572788473907637 0.00013659854446662062 0.026229973061108747
share 0.0010207919196260678 0.00043111965366721155 0.00017151923159384246 9.106569631108042e-05 0.011014010801335345
year 0.005802396174716596 0.0075445939391762026 0.003573317324871718 0.001897202006480842 0.016975368315223695
pct 0.0070380916563692044 0.006071601789146563 0.009033346197275702 0.0047961266723835685 0.006277148344353789
compani 0.004889056036103798 0.0005748262048896154 0.0003573317324871718 0.0001897202006480842 0.008642357217431654
shr 1.7908630168878382e-05 1.7963318902800482e-05 1.4293269299486872e-05 7.588808025923368e-06 0.021093538532926028
inc 0.0011461523308082164 0.00043111965366721155 0.0003144519245887112 0.0001669537765703141 0.008165448616320585
profit 0.0004477157542219596 0.0002694497835420072 0.00027157211669025054 0.000144187352492544 0.016150445329518065
bank 0.001540142194523541 0.00010777991341680289 0.019338793362205738 0.010267657259074317 0.0036928193031978656
ha 0.004584609323232866 0.00520936248181214 0.0049454711776224574 0.0026257275769694852 0.0023007617648196127
wa 0.007897705904475368 0.005406958989742945 0.00744679330503266 0.003953768981506075 0.0028421174741889333
us 0.005641218503196691 0.01194560707036232 0.008261509655103411 0.004386331038983707 0.001495172911591457
oper 0.0015222335643546626 0.0007185327561120193 0.001000528850964081 0.0005312165618146358 0.010917340138947965
corp 0.001916223428069987 0.0003413030591532091 0.00017151923159384246 9.106569631108042e-05 0.005845352719023498
would 0.005820304804885474 0.005694372092187753 0.005317096179409116 0.002823036585643493 0.0019140791152700979
billion 0.002954923977864933 0.00149095546893244 0.006617783685662421 0.0035136181160025197 0.007230965546575925
sale 0.0009312487687816759 0.0024070847329752646 0.0007432500035733173 0.0003946180173480151 0.007366304473918255
market 0.0028832894571894194 0.005029729292784135 0.012006346211568972 0.006374598741775629 0.0013340551409458258
oil 0.02557352388115833 0.0007185327561120193 0.0003001586552892243 0.00015936496854439074 0.0010440431537836897
stock 0.0023639391822919465 0.0010598358152652284 0.0008290096193702386 0.0004401508655035554 0.004343735096606216
rev 1.7908630168878382e-05 1.7963318902800482e-05 1.4293269299486872e-05 7.588808025923368e-06 0.010549991621875926
qtr 8.954315084439192e-05 1.7963318902800482e-05 1.4293269299486872e-05 7.588808025923368e-06 0.01050487864609515
price 0.010476548648793854 0.00598178519463256 0.0015722596229435558 0.0008347688828515706 0.001237384478558447
offer 0.0007163452067551353 0.0031615441268928847 0.0009433557737661335 0.0005008613297109423 0.0005413557093693206
thi 0.0036712691846200684 0.005424922308645746 0.00557437502679988 0.0029596351301101136 0.0019398579585733987
one 0.003008649868371568 0.002137634949433257 0.003258865400283007 0.0017302482299105279 0.0032932472319967005
last 0.004692061104246136 0.0040776733909357096 0.0034875577090747968 0.0018516691583253019 0.002287872343167962
group 0.0009670660291194326 0.0005748262048896154 0.0007003701956748567 0.000371851593270245 0.002526326643723496
also 0.0029907412382026897 0.0022993048195584617 0.0029158269370953217 0.001548116837288367 0.0022685382106904864
note 0.00039398986371532444 0.0005029729292784135 0.001229221159755871 0.0006526374902294097 0.0066831651263807796
expect 0.0020057665789143786 0.0020298550360164543 0.003258865400283007 0.0017302482299105279 0.003493033267597283
includ 0.0010028832894571893 0.0010598358152652284 0.0007575432728728042 0.0004022068253739385 0.005020429733317866
report 0.0035817260337756766 0.0037184070128796994 0.0016437259694409903 0.0008727129229811873 0.003203021280435147
co 0.0011819695911459733 0.00035926637805600963 0.00032874519388819806 0.00017454258459623746 0.0031321294613510693
per 0.002399756442629703 0.002568754603100469 0.0003859182710861455 0.00020489781669993094 0.003757266411456118
new 0.0024534823331363383 0.0019939283982108535 0.002687134628303532 0.0014266959088735933 0.0018302978745343697
april 0.0008775228782750407 0.0017424419335716466 0.0011434615439589496 0.0006071046420738695 0.004968872046711264
march 0.0018624975375633518 0.0017604052524744472 0.0017008990466389378 0.0009030681550848808 0.003570369797507186
two 0.00188040616773223 0.002317268138461262 0.002358389434415334 0.0012521533242773558 0.002655220860240001
unit 0.0017729543867189598 0.0010239091774596274 0.0011720480825579236 0.0006222822581257162 0.0016176224172821366
rate 0.0008596142481061623 0.0010239091774596274 0.011548961593985392 0.006131756884946081 0.0009667066238737867
dollar 0.00034026397320868925 8.981659451400241e-05 0.012892528908137158 0.006845104839382878 0.0005929133959759225
industri 0.0031698275398914736 0.0010418724963624278 0.0019867644326286753 0.0010548443156033482 0.0018431872961860202
quarter 0.0009670660291194326 0.00016166987012520434 0.0004573846175835799 0.00024284185682954778 0.005574674864338837
product 0.005802396174716596 0.0034489572293376924 0.00037162500178665865 0.00019730900867400756 0.001495172911591457
trade 0.0014685076738480273 0.003808223607393702 0.006446264454068579 0.003422552419691439 0.0006960287691891265
